,X.1,X,GEOID,NAME,pb_act,pb_pred,pb_schu,poverty,black,X1960,X1950,hs,renter,year,hispanic,income
1,1,1,18141000100,"Census Tract 1, St. Joseph County, Indiana",1.92,1.87,3.95,24.8,39.2,66.8,12.5,74.5,35.5,1957,16.1,37392
2,2,2,18141000200,"Census Tract 2, St. Joseph County, Indiana",2.18,2.32,4.3,47.6,54.4,72.9,54.1,81.1,44.9,1948,9.8,31130
3,3,3,18141000301,"Census Tract 3.01, St. Joseph County, Indiana",1.82,1.98,3.89,26.5,14.7,69.9,51.4,90.5,47.2,1950,9,40161
4,4,4,18141000302,"Census Tract 3.02, St. Joseph County, Indiana",1.69,1.86,3.71,36.1,47,14.7,8,89.7,71.1,1975,4.8,41429
5,5,5,18141000400,"Census Tract 4, St. Joseph County, Indiana",2.76,2.62,4.42,51,61.8,86.9,67.7,70,61.7,1940,10.7,26384
6,6,6,18141000500,"Census Tract 5, St. Joseph County, Indiana",2.61,2.66,4.13,23.2,63.2,80.4,60.3,73.2,29.6,1946,12,38250
7,7,7,18141000600,"Census Tract 6, St. Joseph County, Indiana",3.44,2.66,4.33,42,45.7,93.4,83.4,74.8,54.7,1939,17.8,32438
8,8,8,18141000700,"Census Tract 7, St. Joseph County, Indiana",2.52,2.49,4.06,23.1,18.7,95.5,89.7,82.7,39.5,1939,6.8,49000
9,9,9,18141000800,"Census Tract 8, St. Joseph County, Indiana",1.76,2.04,3.69,7.7,3.6,86.4,66.7,98.2,11.3,1940,6.3,70962
10,10,10,18141000900,"Census Tract 9, St. Joseph County, Indiana",2.23,2.04,3.87,29.6,16.1,60.1,53,86.1,65.9,1946,3.1,37750
11,11,11,18141001000,"Census Tract 10, St. Joseph County, Indiana",1.95,1.97,4.01,40.8,35.2,49,34.6,86.5,55.4,1961,10.5,42500
12,12,12,18141001100,"Census Tract 11, St. Joseph County, Indiana",1.83,1.68,3.74,17.2,23.4,63.3,12.7,92.9,24.3,1957,7.2,49769
13,13,13,18141001200,"Census Tract 12, St. Joseph County, Indiana",1.47,1.86,3.66,4.1,4.6,87.2,45.4,93.6,6.3,1951,5.4,62500
14,14,14,18141001300,"Census Tract 13, St. Joseph County, Indiana",1.69,1.85,3.53,16.6,27.2,41,19.7,88.1,51.8,1963,3.3,37232
15,15,15,18141001400,"Census Tract 14, St. Joseph County, Indiana",2.01,2.1,3.89,20.4,16.4,78.6,59.9,89.3,24.5,1941,11,38583
16,16,16,18141001500,"Census Tract 15, St. Joseph County, Indiana",1.87,2.11,4.2,44.2,18.4,83.3,67.1,86.6,47.9,1940,1.1,29399
17,17,17,18141001600,"Census Tract 16, St. Joseph County, Indiana",1.73,2.12,3.64,3,5.8,86.7,69.6,96.3,8.3,1939,4.2,74922
18,18,18,18141001700,"Census Tract 17, St. Joseph County, Indiana",2.05,2.18,4.13,45.1,45.1,53.6,45.1,82.4,73,1956,2.7,15691
19,19,19,18141001900,"Census Tract 19, St. Joseph County, Indiana",3.16,2.73,4.41,48.6,64.6,86.8,81.8,85.6,59.2,1939,9.2,25694
20,20,20,18141002000,"Census Tract 20, St. Joseph County, Indiana",2.44,2.21,4.44,68.7,60.8,63,43,76,86.8,1953,7.1,12500
